url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,270595,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, NL, PA, PE, PY, SV, TC, US, UY, VE"
,"Rain Man",movie,Drama,1988,tt0095953,8,554775,"CZ, RO"
,"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404432,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"A Fistful of Dollars",movie,"Action, Drama, Western",1964,tt0058461,7.9,238169,"AG, BB, BS, HN, NI, RS, TT"
,"Who's Afraid of Virginia Woolf?",movie,Drama,1966,tt0061184,8,81234,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,53955,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,Capote,movie,"Biography, Crime, Drama",2005,tt0379725,7.3,142746,"BA, BG, HR, MD, ME, MK, SI, SK"
,"Garden State",movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,224853,US
,"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,119127,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"La Strada",movie,Drama,1954,tt0047528,8,67387,"AG, BB, BS, HN, NI, TT, US"
,"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,270386,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,271886,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
,8½,movie,Drama,1963,tt0056801,8,127041,"AG, BB, BS, DK, FI, HN, NI, NO, RS, SE, TT, US"
,"Schindler's List",movie,"Biography, Drama, History",1993,tt0108052,9,1482766,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"Ice Age",movie,"Adventure, Animation, Comedy",2002,tt0268380,7.5,530489,"CZ, RO"
,Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,435706,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"My Uncle",movie,Comedy,1958,tt0050706,7.7,24642,"AG, BB, BS, HN, NI, TT, US"
,"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",1966,tt0060196,8.8,828338,"AG, BB, BS, HN, NI, RS, TT"
,"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36488,"AG, AR, BA, BB, BG, BO, BR, BS, CL, CO, CR, CZ, DO, GT, HN, HR, HU, JM, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, SI, SK, SV, TT, US, UY, VE"
,Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86573,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,137487,"AG, BB, BS, HN, NI, TT, US"
,"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,226784,"BE, CZ, ES, FR, RO"
,"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41303,"AG, BB, BS, HN, NI, TT, US"
,"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,122481,"AR, BE, BO, BR, CL, CO, CR, FR, GT, MC, MX, PE, SV, UY"
,"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1099095,"AG, BB, BS, ES, HN, NI, RS, TT"
,"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,202601,"AG, BB, BS, HN, NI, TT, US"
,"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1441340,"AR, BE, BO, BR, CL, CO, CR, DK, FI, FR, GT, MX, NO, PE, SV, UY"
,"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28388,"AG, BB, BS, HN, NI, TT, US"
,Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111682,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,164908,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,54940,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
